,Symbol,Company,month,EPS_Estimate,Reported_EPS,Surprise (%)
0,PNC,PNC Financial Services Group Inc,2021-10-15,0.000,0.000,0.000
1,PNC,PNC Financial Services Group Inc,2021-09-15,0.000,0.000,0.000
2,PNC,PNC Financial Services Group Inc,2021-08-16,0.000,0.000,0.000
3,PNC,PNC Financial Services Group Inc,2021-07-14,0.000,0.000,0.000
4,PNC,PNC Financial Services Group Inc,2021-06-14,0.867,0.000,0.000
5,PNC,PNC Financial Services Group Inc,2021-05-15,1.733,0.000,0.000
6,PNC,PNC Financial Services Group Inc,2021-04-16,2.600,0.000,0.000
7,PNC,PNC Financial Services Group Inc,2021-03-17,2.607,1.087,8.223
8,PNC,PNC Financial Services Group Inc,2021-02-15,2.613,2.173,16.447
9,PNC,PNC Financial Services Group Inc,2021-01-15,2.620,3.260,24.670
10,PNC,PNC Financial Services Group Inc,2020-12-16,2.453,3.303,36.390
11,PNC,PNC Financial Services Group Inc,2020-11-16,2.287,3.347,48.110
12,PNC,PNC Financial Services Group Inc,2020-10-14,2.120,3.390,59.830
13,PNC,PNC Financial Services Group Inc,2020-09-14,1.583,5.060,551.300
14,PNC,PNC Financial Services Group Inc,2020-08-15,1.047,6.730,1042.770
15,PNC,PNC Financial Services Group Inc,2020-07-15,0.510,8.400,1534.240
16,PNC,PNC Financial Services Group Inc,2020-06-15,0.910,6.250,1027.460
17,PNC,PNC Financial Services Group Inc,2020-05-16,1.310,4.100,520.680
18,PNC,PNC Financial Services Group Inc,2020-04-15,1.710,1.950,13.900
19,PNC,PNC Financial Services Group Inc,2020-03-16,2.117,2.290,9.687
20,PNC,PNC Financial Services Group Inc,2020-02-15,2.523,2.630,5.473
21,PNC,PNC Financial Services Group Inc,2020-01-15,2.930,2.970,1.260
22,PNC,PNC Financial Services Group Inc,2019-12-16,2.887,2.960,2.470
23,PNC,PNC Financial Services Group Inc,2019-11-16,2.843,2.950,3.680
24,PNC,PNC Financial Services Group Inc,2019-10-16,2.800,2.940,4.890
25,PNC,PNC Financial Services Group Inc,2019-09-16,2.807,2.920,3.947
26,PNC,PNC Financial Services Group Inc,2019-08-17,2.813,2.900,3.003
27,PNC,PNC Financial Services Group Inc,2019-07-17,2.820,2.880,2.060
28,PNC,PNC Financial Services Group Inc,2019-06-17,2.750,2.790,1.400
29,PNC,PNC Financial Services Group Inc,2019-05-18,2.680,2.700,0.740
30,PNC,PNC Financial Services Group Inc,2019-04-12,2.610,2.610,0.080
31,PNC,PNC Financial Services Group Inc,2019-03-13,2.670,2.657,-0.367
32,PNC,PNC Financial Services Group Inc,2019-02-11,2.730,2.703,-0.813
33,PNC,PNC Financial Services Group Inc,2019-01-16,2.790,2.750,-1.260
34,PNC,PNC Financial Services Group Inc,2018-12-17,2.767,2.773,0.333
35,PNC,PNC Financial Services Group Inc,2018-11-17,2.743,2.797,1.927
36,PNC,PNC Financial Services Group Inc,2018-10-12,2.720,2.820,3.520
37,PNC,PNC Financial Services Group Inc,2018-09-12,2.673,2.787,4.210
38,PNC,PNC Financial Services Group Inc,2018-08-13,2.627,2.753,4.900
39,PNC,PNC Financial Services Group Inc,2018-07-13,2.580,2.720,5.590
40,PNC,PNC Financial Services Group Inc,2018-06-13,2.530,2.623,3.700
41,PNC,PNC Financial Services Group Inc,2018-05-14,2.480,2.527,1.810
42,PNC,PNC Financial Services Group Inc,2018-04-13,2.430,2.430,-0.080
43,PNC,PNC Financial Services Group Inc,2018-03-14,2.353,2.383,1.373
44,PNC,PNC Financial Services Group Inc,2018-02-12,2.277,2.337,2.827
45,PNC,PNC Financial Services Group Inc,2018-01-12,2.200,2.290,4.280
46,PNC,PNC Financial Services Group Inc,2017-12-13,2.177,2.247,3.323
47,PNC,PNC Financial Services Group Inc,2017-11-13,2.153,2.203,2.367
48,PNC,PNC Financial Services Group Inc,2017-10-13,2.130,2.160,1.410
49,PNC,PNC Financial Services Group Inc,2017-09-13,2.093,2.140,2.313
50,PNC,PNC Financial Services Group Inc,2017-08-14,2.057,2.120,3.217
51,PNC,PNC Financial Services Group Inc,2017-07-14,2.020,2.100,4.120
52,PNC,PNC Financial Services Group Inc,2017-06-14,1.960,2.053,4.940
53,PNC,PNC Financial Services Group Inc,2017-05-15,1.900,2.007,5.760
54,PNC,PNC Financial Services Group Inc,2017-04-13,1.840,1.960,6.580
55,PNC,PNC Financial Services Group Inc,2017-03-14,1.843,1.963,6.647
56,PNC,PNC Financial Services Group Inc,2017-02-12,1.847,1.967,6.713
57,PNC,PNC Financial Services Group Inc,2017-01-13,1.850,1.970,6.780
58,PNC,PNC Financial Services Group Inc,2016-12-14,1.827,1.927,5.720
59,PNC,PNC Financial Services Group Inc,2016-11-14,1.803,1.883,4.660
60,PNC,PNC Financial Services Group Inc,2016-10-14,1.780,1.840,3.600
61,PNC,PNC Financial Services Group Inc,2016-09-14,1.770,1.833,3.673
62,PNC,PNC Financial Services Group Inc,2016-08-15,1.760,1.827,3.747
63,PNC,PNC Financial Services Group Inc,2016-07-15,1.750,1.820,3.820
64,PNC,PNC Financial Services Group Inc,2016-06-15,1.733,1.773,2.117
65,PNC,PNC Financial Services Group Inc,2016-05-16,1.717,1.727,0.413
66,PNC,PNC Financial Services Group Inc,2016-04-14,1.7,1.68,-1.29
